,GD,LNC,TXT,TAP,DDS,C,CI,CVX,ECL,FMC,GPC,HAL,HAS,HD,JPM,KMB,LHX,LLY,LOW,MMM,CLX,IP,NWL,BAX,PCAR,VFC,WHR,AON,PG,HSY,Date
2010-02-26,72.55,25.18,19.92,40.38,16.87,34.0,34.26,72.3,42.14,24.7715,40.36,30.15,35.78,31.2,41.97,58.2152,45.22,34.34,23.71,80.15,61.31,21.629,13.75,30.9277,35.35,18.2084,84.16,40.94,63.28,39.76,2010-02-26
2010-03-31,77.2,30.7,21.23,42.06,23.6,40.5,36.58,75.83,43.95,26.2317,42.24,30.13,38.28,32.35,44.75,60.2662,47.49,36.22,24.24,83.57,64.14,22.9732,15.2,31.6176,43.34,18.8602,87.25,42.71,63.27,42.81,2010-03-31
2010-04-30,76.36,30.59,22.84,44.36,28.08,43.7,32.06,81.44,48.84,27.575,42.8,30.65,38.36,35.25,42.58,58.7135,51.48,34.97,27.12,88.67,64.7,24.9616,17.07,25.6526,46.52,20.3356,108.87,42.46,62.16,47.01,2010-04-30
2010-05-28,67.9,26.46,20.67,41.04,28.69,39.6,33.47,73.87,47.23,26.2361,40.61,24.83,40.15,33.86,39.58,58.1768,46.91,32.79,24.75,79.31,62.82,21.685,16.66,22.9418,41.0,18.2014,104.44,39.47,61.09,46.8,2010-05-28
2010-06-30,58.56,24.29,16.97,42.36,21.5,37.6,31.06,67.86,44.91,24.8842,39.45,24.55,41.1,28.07,36.61,58.1097,41.65,33.5,20.42,78.99,62.16,21.1249,14.64,22.078,39.87,16.7495,87.82,37.12,59.98,47.93,2010-06-30
2010-07-30,61.25,26.04,20.76,45.01,23.14,41.0,30.76,76.21,48.91,27.0767,42.83,29.88,42.15,28.51,40.28,61.4547,44.53,35.6,20.74,85.54,64.88,22.5905,15.5,23.7784,45.82,18.6673,83.3,37.67,61.16,47.0,2010-07-30
2010-08-31,55.87,23.36,17.07,43.56,21.87,37.2,32.22,74.16,47.4,26.9857,41.93,28.21,40.36,27.81,36.36,61.723,42.07,33.56,20.3,78.55,64.82,19.0992,15.02,23.1211,40.99,16.6177,74.16,36.24,59.67,46.47,2010-08-31
2010-09-30,62.81,23.92,20.56,47.22,23.64,39.0,35.78,81.05,50.74,29.6418,44.59,33.07,44.51,31.68,38.07,62.346,44.29,36.53,22.29,86.71,66.76,20.3034,17.81,25.9188,48.15,19.065,80.96,39.11,59.97,47.59,2010-09-30
2010-10-29,68.12,24.48,20.82,47.23,25.51,41.7,35.19,82.61,49.32,31.6739,47.86,31.86,46.25,30.88,37.63,60.7071,45.19,35.2,21.33,84.22,66.55,23.5987,17.65,27.6518,51.26,19.5874,75.83,39.75,63.57,49.49,2010-10-29
2010-11-30,66.09,23.88,22.36,47.65,31.18,42.0,36.81,80.97,47.81,33.7191,48.14,37.84,47.66,30.21,37.38,59.3174,44.24,33.66,22.7,83.98,61.81,23.3093,16.77,26.3752,53.86,19.5026,73.0,40.12,61.07,46.8,2010-11-30
2010-12-31,70.96,27.81,23.64,50.19,37.94,47.3,36.66,91.25,50.42,34.616,51.34,40.83,47.18,35.06,42.42,60.4196,45.3,35.04,25.08,86.3,63.28,25.4283,18.18,27.4997,57.42,20.2792,88.83,46.01,64.33,47.15,2010-12-31
2011-01-31,75.4,28.84,26.29,46.87,39.72,48.2,42.02,94.93,49.69,32.9565,51.75,45.0,44.09,36.77,44.94,62.0393,46.54,34.77,24.8,87.92,62.89,26.9592,19.25,26.3426,56.49,19.465,85.5,45.74,63.13,46.69,2011-01-31
2011-02-28,76.12,31.72,27.09,45.73,42.34,46.8,42.07,103.75,48.64,33.5544,52.69,46.94,44.9,37.47,46.69,63.1607,46.66,34.56,26.17,92.23,67.76,25.9324,19.34,28.8742,50.13,22.5123,82.5,52.64,63.05,52.32,2011-02-28
2011-03-31,76.56,30.04,27.39,46.89,40.12,44.2,44.28,107.43,51.02,36.7998,53.64,49.84,46.84,37.06,46.1,62.5569,49.6,35.17,26.43,93.5,70.07,28.1728,19.13,29.211,52.35,23.1853,85.36,52.96,61.6,54.35,2011-03-31
2011-04-29,72.82,31.23,26.1,48.75,48.02,45.9,46.83,109.44,52.76,38.2514,53.7,50.48,46.84,37.14,45.63,63.314,53.13,37.01,26.25,97.21,69.66,28.8262,19.06,30.9114,53.11,23.6629,86.18,52.17,64.9,57.71,2011-04-29
2011-05-31,74.22,29.35,22.88,46.65,56.19,41.15,49.89,104.91,54.88,36.5485,54.8,50.15,45.74,36.28,43.24,65.4609,49.44,38.48,24.14,94.38,70.48,29.1436,17.81,32.3347,50.0,23.4535,83.8,52.15,67.0,55.73,2011-05-31
2011-06-30,74.52,28.49,23.61,44.74,52.14,41.64,51.43,102.84,56.38,37.2721,54.4,51.0,43.93,36.22,40.94,63.7932,45.06,37.53,23.31,94.85,67.44,27.8367,15.78,32.4271,51.09,25.5454,81.32,51.3,63.57,56.85,2011-06-30
2011-07-29,68.14,26.5,23.13,45.05,56.26,38.34,49.77,104.02,50.0,37.9437,53.16,54.73,39.56,34.93,40.45,62.6431,39.87,38.3,21.58,87.14,71.59,27.7247,15.52,31.6013,42.81,27.4844,69.23,48.12,61.49,56.44,2011-07-29
2011-08-31,64.08,20.75,16.87,43.75,46.28,31.05,46.74,98.91,53.6,32.9002,55.02,44.37,38.74,33.38,37.56,66.2852,40.35,37.51,19.93,82.98,69.7,25.3443,13.84,30.4116,37.63,27.5456,62.69,46.73,63.68,58.65,2011-08-31
2011-09-30,56.89,15.63,17.64,39.61,43.48,25.62,41.94,92.52,48.89,29.9668,50.8,30.52,32.61,32.87,30.12,68.0583,34.17,36.97,19.34,71.79,66.33,21.7037,11.87,30.4985,33.82,28.5951,49.91,41.98,63.18,59.24,2011-09-30
2011-10-31,64.19,19.05,19.42,42.34,51.53,31.59,44.34,105.05,53.84,34.1827,57.43,37.36,38.06,35.8,34.76,66.8123,37.75,37.16,21.02,79.02,66.94,25.8577,14.8,29.8683,43.24,32.5248,50.81,46.62,63.99,57.23,2011-10-31
2011-11-30,66.06,20.18,19.43,40.59,47.0,27.48,44.23,102.82,57.02,36.3622,58.5,36.8,35.81,39.22,30.97,68.4991,35.6,37.85,24.01,81.04,64.96,26.5112,15.3,28.0647,40.57,32.6354,49.06,45.97,64.57,57.68,2011-11-30
2011-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-12-31
2012-01-31,69.16,21.54,25.48,42.89,44.25,30.72,44.83,103.08,60.44,40.1579,63.78,36.78,34.91,44.39,37.3,68.5854,41.0,39.74,26.83,86.71,68.66,29.0689,18.47,30.14,44.2,30.9411,54.32,48.43,63.04,61.08,2012-01-31
2012-02-29,73.23,24.84,27.51,43.94,61.14,33.32,44.11,109.12,60.0,42.8833,62.68,36.59,35.32,47.57,39.24,69.8505,43.63,39.24,28.38,87.6,67.61,32.8122,18.3,31.5796,46.01,34.3673,75.57,46.81,67.52,60.7,2012-02-29
2012-03-30,73.38,26.36,27.83,45.25,63.02,36.55,49.25,107.24,61.72,45.8687,62.75,33.19,36.72,50.31,45.98,70.8185,45.08,40.27,31.38,89.21,68.75,32.7655,17.81,32.476,46.83,34.3508,76.86,49.06,67.21,61.33,2012-03-30
2012-04-30,67.5,24.77,26.64,41.58,64.56,33.04,46.23,106.56,63.69,47.8575,64.78,34.22,36.74,51.79,42.98,75.2082,45.54,41.39,31.47,89.36,70.1,31.0946,18.2,30.1019,42.96,35.7792,64.02,51.8,63.64,67.01,2012-04-30
2012-05-31,64.01,20.67,23.63,38.45,67.24,26.51,43.91,98.31,63.21,44.1702,63.0,30.06,35.42,49.34,33.15,76.0516,39.78,40.95,26.72,84.41,68.8,27.2579,18.4,27.4997,37.57,33.1884,61.88,46.5,62.29,66.86,2012-05-31
2012-06-29,65.96,21.87,24.87,41.61,63.68,27.41,44.0,105.5,68.53,46.3453,60.25,28.39,33.87,52.99,35.73,80.2878,41.85,42.91,28.44,89.6,72.46,26.9872,18.14,28.8742,39.19,31.4024,61.16,46.78,61.25,72.03,2012-06-29
2012-07-31,63.44,20.05,26.05,42.32,65.23,27.13,40.28,109.58,65.45,47.4026,64.03,33.13,35.82,52.18,36.0,83.2973,41.65,44.03,25.37,91.23,72.71,30.6279,17.65,31.786,40.01,35.132,67.56,49.2,64.54,71.74,2012-07-31
2012-08-31,65.51,23.22,26.72,44.54,75.08,29.71,45.77,112.16,64.03,47.0733,63.16,32.76,37.51,56.75,37.14,80.1249,47.03,44.91,28.48,92.6,72.75,32.2615,17.93,31.8784,39.91,35.9274,75.46,51.96,67.19,71.82,2012-08-31
2012-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-30
2012-10-31,68.08,24.79,25.21,43.14,77.0,37.39,51.0,110.21,69.6,46.38,62.58,32.29,35.99,61.38,41.68,79.9812,45.78,48.63,32.38,87.6,72.3,33.447,20.64,34.0242,43.34,36.8216,97.68,53.95,69.24,68.85,2012-10-31
2012-11-30,66.5,24.7,23.49,41.46,88.91,34.57,52.27,105.69,72.08,48.0612,65.09,33.35,38.46,65.07,41.08,82.1568,47.13,49.04,36.09,90.95,76.35,34.6699,21.81,36.0017,43.94,37.7699,101.84,56.8,69.83,73.27,2012-11-30
2012-12-31,69.27,25.9,24.79,42.79,83.77,39.56,53.46,108.14,71.9,50.713,63.58,34.69,35.9,61.85,43.97,80.9204,48.96,49.32,35.52,92.85,73.22,37.1903,22.27,36.2136,45.21,35.525,101.75,55.6,67.89,72.22,2012-12-31
2013-01-31,66.3,28.98,28.76,45.18,84.41,42.16,58.34,115.15,72.4,53.2694,68.03,40.68,37.37,66.92,47.05,85.7892,46.2,53.69,38.19,100.55,78.41,38.6652,23.48,36.8546,47.06,34.7273,115.38,57.74,75.16,79.45,2013-01-31
2013-02-28,67.97,29.54,28.85,44.21,79.68,41.97,58.46,117.15,76.55,52.2208,71.03,41.51,40.02,68.5,48.92,90.361,48.07,54.66,38.15,104.0,84.01,41.083,23.34,36.7242,47.43,37.9464,112.95,61.09,76.18,83.34,2013-02-28
2013-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-03-31
2013-04-30,73.96,34.01,25.75,51.6,82.41,46.66,66.17,122.01,84.62,52.6021,76.33,42.77,47.37,73.35,49.01,98.9006,46.2,55.38,38.42,104.71,86.25,43.8554,26.34,37.9574,49.78,41.9373,114.28,60.35,76.77,89.16,2013-04-30
2013-05-31,77.1,35.66,26.96,49.41,92.27,51.99,67.9,122.75,84.47,54.344,77.74,41.85,44.48,78.66,54.59,92.805,50.13,53.16,42.11,110.27,83.08,43.0806,27.04,38.2073,53.6,43.2644,127.76,63.67,76.76,89.11,2013-05-31
2013-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-06-30
2013-07-31,85.34,41.67,27.38,50.06,84.43,52.14,77.83,125.89,92.14,57.3337,81.99,45.19,46.0,79.03,55.73,94.6931,57.07,53.11,44.58,117.43,85.94,45.097,27.02,39.6796,56.27,46.3564,133.94,67.5,80.3,94.87,2013-07-31
2013-08-30,83.25,42.04,26.94,48.79,76.26,48.33,78.69,120.43,91.35,57.7237,77.01,48.0,45.58,74.49,50.53,89.5942,56.63,51.4,45.82,113.58,82.7,44.0701,25.3,37.789,53.61,44.0527,128.65,66.38,77.89,91.95,2013-08-30
2013-09-30,87.52,41.99,27.61,50.13,78.3,48.51,76.86,121.5,98.76,62.152,80.89,48.15,47.14,75.85,51.69,90.3035,59.3,50.33,47.61,119.41,81.72,41.8204,27.5,35.6866,55.66,46.8388,146.44,74.44,75.59,92.5,2013-09-30
2013-10-31,86.63,45.41,28.79,54.0,81.98,48.78,76.98,119.96,106.0,63.0532,78.83,53.03,51.65,77.89,51.54,103.5107,61.96,49.82,49.78,125.85,90.19,41.6431,29.63,35.7844,55.6,50.592,146.01,79.09,80.75,99.24,2013-10-31
2013-11-29,91.66,51.33,33.23,52.67,91.5,52.92,87.45,122.44,107.17,63.1399,82.84,52.68,53.82,80.67,57.22,104.6224,64.51,50.22,47.48,133.51,93.17,43.5474,30.35,37.186,57.31,55.1994,152.76,81.64,84.22,96.89,2013-11-29
2013-12-31,95.55,51.62,36.76,56.15,97.21,52.11,87.48,124.91,104.27,65.393,83.19,50.75,55.01,82.34,58.48,100.1178,69.81,51.0,49.55,140.25,92.76,45.7691,32.41,37.7836,59.17,58.6773,156.86,83.89,81.41,97.23,2013-12-31
2014-01-31,101.31,48.03,35.5,52.64,87.3,47.43,86.31,111.63,100.54,61.2074,82.25,49.01,49.12,76.85,55.36,104.8237,69.34,54.01,46.29,128.19,88.27,44.5649,30.9,37.1045,56.0,55.0159,133.3,80.46,76.62,99.4,2014-01-31
2014-02-28,109.54,50.13,39.7,56.83,92.58,48.63,79.59,115.33,107.75,66.8836,88.09,57.0,55.16,82.03,56.82,105.763,73.82,59.61,50.03,134.73,87.28,45.6384,32.11,37.7564,65.84,55.1477,144.63,85.6,78.66,105.82,2014-02-28
2014-03-31,108.92,50.67,39.29,58.86,92.4,47.6,83.73,118.91,107.99,66.3463,86.85,58.89,55.62,79.13,60.71,105.6671,73.16,58.86,48.9,135.66,88.01,42.8286,29.9,39.9729,67.44,58.2444,149.46,84.28,80.6,104.4,2014-03-31
2014-04-30,109.45,48.51,40.9,59.97,97.93,47.91,80.04,125.52,104.64,66.7276,87.12,63.07,55.26,79.51,55.98,107.584,73.52,59.1,45.91,139.09,90.7,43.5474,30.11,39.5437,63.98,57.5008,153.38,84.88,82.55,96.24,2014-04-30
2014-05-30,118.12,47.96,39.22,65.73,112.75,47.57,89.78,122.79,109.19,66.3463,86.33,64.64,53.7,80.23,55.57,107.6798,77.25,59.86,47.08,142.55,89.62,44.4622,29.28,40.4238,63.36,59.3174,143.55,89.94,80.79,97.34,2014-05-30
2014-06-30,116.55,51.44,38.29,74.16,116.61,47.1,91.97,130.55,111.34,61.6927,87.8,71.01,53.05,80.96,57.62,106.5968,75.75,62.17,47.99,143.24,91.4,47.1133,30.99,39.2776,62.83,59.2986,139.22,90.09,78.59,97.37,2014-06-30
2014-07-31,116.77,52.39,36.37,67.53,119.22,48.91,90.04,129.24,108.53,56.5191,82.82,68.99,49.95,80.85,57.67,99.5523,68.27,61.06,47.85,140.89,86.87,44.9772,32.48,40.5759,62.27,57.6702,142.64,84.36,77.32,88.15,2014-07-31
2014-08-29,123.25,55.04,38.0,73.95,114.32,51.65,94.6,129.45,114.82,57.3164,87.74,67.61,52.655,93.5,59.45,103.5107,71.39,63.56,52.51,144.0,88.6,45.8767,33.52,40.7335,62.81,60.3528,153.02,87.16,83.11,91.42,2014-08-29
2014-09-30,127.09,53.58,35.99,74.44,108.98,51.82,90.69,119.32,114.83,49.5604,87.71,64.51,54.995,91.74,60.24,103.0985,66.4,64.85,52.92,141.68,96.04,45.2044,34.41,38.9896,56.875,62.1505,145.65,87.67,83.74,95.43,2014-09-30
2014-10-31,139.76,54.76,41.53,74.38,105.76,53.53,99.57,119.95,111.23,49.6991,97.08,55.14,57.53,97.52,60.48,109.52,69.6,66.33,57.2,153.77,99.5,47.9315,33.33,38.1041,65.32,63.7036,172.05,86.0,87.27,95.91,2014-10-31
2014-11-28,145.36,56.63,43.32,77.35,117.88,53.97,102.89,108.87,108.95,47.1426,102.78,42.2,59.2,99.4,60.16,116.59,71.67,68.12,63.83,160.09,101.62,50.9615,36.31,39.6578,67.02,70.7535,186.17,92.49,90.43,100.28,2014-11-28
2014-12-31,137.62,57.67,42.11,74.52,125.18,54.11,102.91,112.18,104.52,49.4217,106.57,39.33,54.99,104.97,62.58,115.54,71.82,68.99,68.8,164.32,104.21,50.7343,38.09,39.8154,68.01,70.4994,193.74,94.83,91.09,103.93,2014-12-31
2015-01-30,133.21,49.98,42.56,75.93,113.6,46.95,106.83,102.53,103.77,49.829,92.94,39.99,54.92,104.42,54.38,107.96,67.13,72.0,67.76,162.3,106.71,49.8631,36.87,38.1965,60.11,65.2943,199.08,90.05,84.29,102.21,2015-01-30
2015-02-27,138.78,57.64,44.31,75.89,130.16,52.42,121.63,106.68,115.54,54.9506,96.08,42.94,62.315,114.75,61.28,109.66,77.68,70.17,74.09,168.65,108.64,53.414,39.29,37.5663,64.05,72.156,211.95,100.36,85.13,103.78,2015-02-27
2015-03-31,135.73,57.46,44.33,74.45,136.51,51.52,129.44,104.98,114.38,49.6124,93.19,43.88,63.24,113.61,60.58,107.11,78.76,72.65,74.39,164.95,110.39,52.5428,39.07,37.2132,63.14,70.8853,202.06,96.12,81.94,100.91,2015-03-31
2015-04-30,137.32,56.49,43.98,73.51,131.59,53.32,124.64,111.06,111.98,51.3976,89.85,48.95,70.79,106.98,63.26,109.69,80.24,71.87,68.86,156.39,106.1,50.8668,38.13,37.3436,65.35,68.1745,175.6,96.23,79.51,91.92,2015-04-30
2015-05-29,140.16,57.01,45.22,73.38,116.01,54.08,140.83,103.0,114.65,49.5431,90.47,45.4,72.13,111.42,65.78,108.86,79.22,78.9,69.98,159.08,107.66,49.0772,39.53,36.1864,63.56,66.292,184.25,101.22,78.39,92.86,2015-05-29
2015-06-30,141.69,59.22,44.63,69.81,105.19,55.24,162.0,96.47,113.07,45.5394,89.53,43.07,74.79,111.13,67.76,105.97,76.91,83.49,66.97,154.3,104.02,45.0624,41.11,37.99,63.81,65.6426,173.05,99.68,78.24,88.83,2015-06-30
2015-07-31,149.11,56.32,43.7,71.14,101.88,58.46,144.06,88.48,115.81,42.0644,88.95,41.79,78.74,117.03,68.53,114.97,82.94,84.51,69.36,151.34,111.94,45.3275,43.28,40.08,64.84,72.5607,177.73,100.77,76.7,92.89,2015-07-31
2015-08-31,142.03,50.79,38.8,68.09,92.51,53.48,140.79,80.99,109.14,36.6655,83.49,39.35,74.59,116.46,64.1,106.53,76.82,82.35,69.17,142.14,111.17,40.8487,42.13,38.45,58.97,68.1745,168.1,93.44,70.67,89.52,2015-08-31
2015-09-30,137.95,47.46,37.64,83.02,87.39,49.61,135.02,78.88,109.72,29.3861,82.89,35.35,72.14,115.49,60.97,109.04,73.15,83.69,68.92,141.77,115.53,35.7829,39.71,32.85,52.17,64.2025,147.26,88.61,71.94,91.88,2015-09-30
2015-10-30,148.58,53.51,42.17,88.1,89.48,53.17,134.04,90.88,120.35,35.279,90.76,38.38,76.83,123.64,64.25,119.71,79.13,81.57,73.83,157.21,121.94,40.4226,42.43,37.39,52.65,63.553,160.14,93.31,76.38,88.69,2015-10-30
2015-11-30,146.46,54.99,42.67,92.03,75.0,54.09,134.98,91.32,119.16,37.2375,90.63,39.85,73.09,133.88,66.68,119.15,83.13,82.04,76.6,156.58,124.3,39.6083,44.66,37.65,51.96,60.8987,162.52,94.74,74.84,86.31,2015-11-30
2015-12-31,137.36,50.26,42.01,93.92,65.71,51.75,146.33,89.96,114.38,33.9097,85.89,34.04,67.36,132.25,66.03,127.3,86.9,84.26,76.04,150.64,126.83,35.6977,44.08,38.15,47.4,58.5926,146.87,92.21,79.41,89.27,2015-12-31
2016-01-29,133.77,39.46,34.22,90.48,70.41,42.58,133.6,86.47,107.87,30.9547,86.17,31.79,74.28,125.76,59.5,128.42,86.97,79.1,71.66,151.0,129.05,32.393,38.78,36.6,49.07,58.9221,134.39,87.83,81.69,88.11,2016-01-29
2016-02-29,136.27,36.53,34.15,85.27,83.69,38.85,139.61,83.44,102.55,32.6185,90.15,32.28,75.87,124.12,56.3,130.3,78.02,72.0,67.53,156.87,126.42,33.8039,38.01,39.51,51.5,61.2846,155.32,95.29,80.29,90.89,2016-02-29
2016-03-31,131.37,39.2,36.46,96.18,84.91,41.75,137.24,95.4,111.52,34.9843,99.36,35.72,80.1,133.43,59.22,134.51,77.86,72.01,75.75,166.63,126.06,38.8603,44.29,41.08,54.69,60.9552,180.34,104.45,82.31,92.09,2016-03-31
2016-04-29,140.52,43.45,38.68,95.63,70.45,46.28,138.54,102.18,114.98,37.4888,95.97,41.31,84.64,133.89,63.2,125.19,80.01,75.53,76.02,167.38,125.23,40.9718,45.54,44.22,58.91,59.3456,174.14,105.12,80.12,93.11,2016-04-29
2016-05-31,141.87,45.85,38.06,99.18,59.11,46.57,128.11,101.0,117.24,41.1545,96.92,42.18,87.29,132.12,65.27,127.04,78.77,75.03,80.13,168.32,128.54,39.9208,47.69,43.16,55.75,58.6585,174.62,109.27,81.04,92.85,2016-05-31
2016-06-30,139.24,38.77,36.56,101.13,60.6,42.39,127.99,104.83,118.6,40.1319,101.25,45.29,83.99,127.69,62.14,137.48,83.44,78.75,79.17,175.12,138.39,40.1291,48.57,45.22,51.87,57.8773,166.64,109.23,84.67,113.49,2016-06-30
2016-07-29,146.89,43.67,39.0,102.16,67.68,43.81,128.96,102.48,118.38,41.1978,102.24,43.66,81.23,138.24,63.97,129.55,86.62,82.89,82.28,178.36,131.07,43.3769,52.46,48.02,58.97,58.7621,192.36,107.07,85.59,110.76,2016-07-29
2016-08-31,152.22,48.03,40.85,102.32,60.24,47.74,128.26,100.58,123.05,40.6778,102.82,43.01,81.74,134.12,67.5,128.06,92.98,77.75,76.56,179.24,131.04,45.9146,53.08,46.73,59.84,58.4044,178.64,111.35,87.31,99.89,2016-08-31
2016-09-30,155.16,46.98,39.75,109.8,63.01,47.23,130.32,102.92,121.72,41.8911,100.45,44.88,79.33,128.68,66.59,126.14,91.61,80.26,72.21,176.23,125.18,45.4317,52.66,47.6,58.78,52.7569,162.16,112.49,89.75,95.6,2016-09-30
2016-10-31,150.74,49.09,40.08,103.81,61.3,49.15,118.83,104.75,114.17,40.6345,90.59,46.0,83.41,122.01,69.26,114.41,89.21,73.84,66.65,165.3,120.02,42.6384,48.02,47.59,54.92,51.025,149.82,110.83,86.8,102.46,2016-10-31
2016-11-30,175.35,64.1,46.03,98.03,71.51,56.39,134.74,111.56,116.73,48.6331,96.23,53.09,85.39,129.4,80.17,115.61,103.56,67.12,70.55,171.74,115.56,46.1324,47.01,44.37,62.15,51.3074,162.44,114.1,82.46,96.64,2016-11-30
2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-12-31
2017-01-31,181.08,67.51,47.37,96.52,56.44,55.83,146.22,111.35,120.13,52.1342,96.81,56.57,82.51,137.58,84.63,121.13,102.71,77.03,73.08,174.82,120.0,53.5939,47.33,47.91,67.31,48.4554,174.89,112.7,87.6,105.47,2017-01-31
2017-02-28,189.81,70.16,47.3,100.39,54.52,59.81,148.9,112.5,123.97,49.933,95.71,53.46,96.87,144.91,90.62,132.55,109.9,82.81,74.37,186.35,136.81,49.901,49.03,50.92,66.81,49.3684,178.59,115.65,91.07,108.35,2017-02-28
2017-03-31,187.2,65.45,47.59,95.71,52.24,59.82,146.49,107.37,125.34,60.3061,92.41,49.21,99.82,146.83,87.84,131.63,111.27,84.11,82.21,191.33,134.83,48.083,47.17,51.86,67.2,51.7403,171.33,118.69,89.85,109.25,2017-03-31
2017-04-28,193.79,65.93,46.66,95.89,55.37,59.12,156.37,106.7,129.09,63.4605,92.02,45.88,99.11,156.1,87.0,129.75,111.89,82.06,84.88,195.83,133.69,51.1035,47.74,55.68,66.73,51.4203,185.68,119.84,87.33,108.2,2017-04-28
2017-05-31,203.25,64.98,47.8,94.79,51.48,60.54,161.23,103.48,132.84,65.315,92.62,45.19,105.26,153.51,82.15,129.73,112.16,79.57,78.77,204.47,135.73,50.0714,52.95,59.31,62.96,50.6391,185.54,130.91,88.09,115.27,2017-05-31
2017-06-30,198.1,67.58,47.1,86.34,57.69,66.88,167.39,104.33,132.75,63.3045,92.76,42.71,111.51,153.4,91.4,129.11,109.08,82.3,77.53,208.19,133.24,53.6033,53.62,60.54,66.04,54.2158,191.62,132.95,87.15,107.37,2017-06-30
2017-07-31,196.33,73.06,49.13,88.98,73.82,68.45,173.56,109.19,131.67,66.1903,84.93,42.44,105.88,149.6,91.8,123.16,114.47,82.66,77.4,201.17,133.49,52.0599,52.72,60.48,68.45,58.5362,177.88,138.17,90.82,105.31,2017-07-31
2017-08-31,201.35,67.86,49.09,89.75,60.8,68.03,182.06,107.62,133.3,74.7176,82.83,38.97,98.25,149.87,90.89,123.29,122.9,81.29,73.89,204.32,138.53,51.0089,48.28,62.04,66.33,59.1762,171.62,139.16,92.27,104.92,2017-08-31
2017-09-29,205.58,73.48,53.88,81.64,56.07,72.74,186.94,117.5,128.61,77.3953,95.65,46.03,97.67,163.56,95.51,117.68,131.68,85.54,79.94,209.9,131.91,53.8022,42.67,62.75,72.34,59.8351,184.44,146.1,90.98,109.17,2017-09-29
2017-10-31,202.98,75.78,52.74,80.87,50.8,73.5,197.22,115.89,130.66,80.4717,88.23,42.74,92.59,165.78,100.61,112.51,139.32,81.94,79.95,230.19,126.53,54.2283,40.78,64.47,71.73,65.5579,163.93,143.43,86.34,106.18,2017-10-31
2017-11-30,207.16,76.55,55.71,78.1,60.1,75.5,211.73,118.99,135.92,81.8063,92.97,41.78,93.02,179.82,104.52,119.76,144.5,84.64,83.37,243.14,139.29,53.6033,30.97,65.53,70.33,68.6734,168.57,140.22,89.99,110.93,2017-11-30
2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-31
2018-01-31,222.48,82.8,58.67,84.02,67.56,78.48,208.35,125.35,137.68,79.1458,104.07,53.7,94.57,200.9,115.67,117.0,159.38,81.45,104.73,250.5,141.69,59.5214,26.44,72.03,74.56,76.3728,181.42,142.17,86.34,110.33,2018-01-31
2018-02-28,222.45,76.17,59.85,76.25,81.55,75.49,195.89,111.92,130.45,68.0101,91.84,46.42,95.57,182.27,115.5,110.92,156.15,77.02,89.59,235.51,129.08,56.4251,25.69,67.79,71.59,70.1888,162.43,140.32,78.52,98.26,2018-02-28
2018-03-29,220.9,73.06,58.97,75.33,80.34,67.5,167.74,114.04,137.07,66.3549,89.84,46.94,84.3,178.24,109.97,110.13,161.28,77.37,87.75,219.52,133.11,50.5922,25.48,65.04,66.17,69.7652,153.11,140.33,79.28,98.96,2018-03-29
2018-04-30,201.31,70.64,62.14,71.24,74.55,68.27,171.82,125.11,144.77,69.0934,88.32,52.99,88.09,184.8,108.78,103.54,156.42,81.07,82.43,194.39,117.2,48.8215,27.63,69.5,63.67,76.1186,154.95,142.47,72.34,91.94,2018-04-30
2018-05-31,201.71,66.29,66.58,61.65,81.43,66.69,169.37,124.3,142.61,75.4715,90.79,49.74,86.75,186.55,107.01,100.85,150.47,85.04,95.01,197.23,120.83,50.6585,23.58,70.84,62.23,76.3916,144.75,139.87,73.17,90.04,2018-05-31
2018-06-29,186.41,62.25,65.91,68.04,94.5,66.92,169.95,126.43,140.33,77.3087,91.79,45.06,92.31,195.1,104.2,105.34,144.54,85.33,95.57,196.72,135.25,49.3139,25.79,73.84,61.96,76.7305,146.23,137.17,78.06,93.06,2018-06-29
2018-07-31,199.76,68.1,68.27,67.0,80.27,71.89,179.42,126.27,140.7,77.8893,97.31,42.42,99.61,197.52,114.95,113.86,164.95,98.81,99.34,212.32,135.17,50.8763,26.19,72.45,65.72,86.6606,131.1,143.55,80.88,98.21,2018-07-31
2018-08-31,193.4,65.58,69.03,66.74,78.58,71.24,188.34,118.46,150.48,74.0503,99.85,39.89,99.31,200.77,114.58,115.54,162.51,105.65,108.75,210.92,144.98,48.4239,21.72,74.37,68.42,86.7171,124.98,145.56,82.95,100.52,2018-08-31
2018-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-30
2018-10-31,172.58,60.19,53.63,64.0,70.42,65.46,213.81,111.65,153.15,67.6635,97.92,34.68,91.71,175.88,109.02,104.3,148.71,108.44,95.22,190.26,148.45,42.9508,15.88,62.51,57.21,78.0106,109.76,156.18,88.68,107.15,2018-10-31
